,Ids,Coordinates,CommonName,Line,ClosenessCentrality
242,940GZZLUHGD,"[-0.449828],[51.553715]",Hillingdon Underground Station,piccadilly,0.0232234091965
243,940GZZLUHNX,"[-0.423191],[51.466747]",Hatton Cross Underground Station,piccadilly,0.0212524794559
244,940GZZLUHPC,"[-0.152441],[51.503035]",Hyde Park Corner Underground Station,piccadilly,0.0567322239032
245,940GZZLUHR4,"[-0.445771],[51.458524]",Heathrow Terminal 4 Underground Station,piccadilly,0.0178974907837
246,940GZZLUHR5,"[-0.49056],[51.470052]",Heathrow Terminal 5 Underground Station,piccadilly,0.0189129751806
247,940GZZLUHRC,"[-0.452265],[51.471235]",Heathrow Terminals 1-2-3 Underground Station ,piccadilly,0.0199840127898
248,940GZZLUHSD,"[-0.22362],[51.4923]",Hammersmith (Dist&Picc Line) Underground Station,piccadilly,0.0431530494822
249,940GZZLUHWC,"[-0.366578],[51.471295]",Hounslow Central Underground Station,piccadilly,0.0237398116642
250,940GZZLUHWE,"[-0.356474],[51.473213]",Hounslow East Underground Station,piccadilly,0.0243033052495
251,940GZZLUHWT,"[-0.386544],[51.473469]",Hounslow West Underground Station,piccadilly,0.0226808800181
252,940GZZLUHWY,"[-0.113244],[51.552697]",Holloway Road Underground Station,piccadilly,0.0488122356004
253,940GZZLUICK,"[-0.442001],[51.561992]",Ickenham Underground Station,piccadilly,0.0243269542653
254,940GZZLUKNB,"[-0.160508],[51.501669]",Knightsbridge Underground Station,piccadilly,0.0548947849954
255,940GZZLUKSX,"[-0.123194],[51.530663]",King's Cross St. Pancras Underground Station,piccadilly,0.0594766058684
256,940GZZLULSQ,"[-0.128426],[51.511386]",Leicester Square Underground Station,piccadilly,0.0591949486977
257,940GZZLUMRH,"[-0.096118],[51.570738]",Manor House Underground Station,piccadilly,0.0448296473401
258,940GZZLUNEN,"[-0.288868],[51.517505]",North Ealing Underground Station,piccadilly,0.0322026620867
259,940GZZLUNFD,"[-0.314719],[51.499319]",Northfields Underground Station,piccadilly,0.0299192181111
260,940GZZLUOAK,"[-0.132182],[51.647726]",Oakwood Underground Station,piccadilly,0.026399155227
261,940GZZLUOSY,"[-0.352224],[51.481274]",Osterley Underground Station,piccadilly,0.0255058663493
262,940GZZLUPCC,"[-0.133798],[51.51005]",Piccadilly Circus Underground Station,piccadilly,0.0593002569678
263,940GZZLUPKR,"[-0.284341],[51.527123]",Park Royal Underground Station,piccadilly,0.0306466441925
264,940GZZLURSM,"[-0.412973],[51.573202]",Ruislip Manor Underground Station,piccadilly,0.0261620301735
265,940GZZLURSP,"[-0.421898],[51.571354]",Ruislip Underground Station,piccadilly,0.0255275697754
266,940GZZLURSQ,"[-0.124285],[51.523073]",Russell Square Underground Station,piccadilly,0.0576368876081
267,940GZZLURYL,"[-0.371127],[51.575147]",Rayners Lane Underground Station,piccadilly,0.0298062593145
268,940GZZLUSEA,"[-0.307424],[51.501003]",South Ealing Underground Station,piccadilly,0.0307692307692
269,940GZZLUSGT,"[-0.127816],[51.632315]",Southgate Underground Station,piccadilly,0.0278499814333
270,940GZZLUSHH,"[-0.352492],[51.564888]",South Harrow Underground Station,piccadilly,0.0283795288998
