,,,Number of people in each PTAL level:,,,,,,,,,,0,1,2,3,4,5,6,7,8,
E05000109,Bromley Town,Bromley,334,"1,357","3,298","3,372","3,087","1,154","1,631","2,592",0,"16,826",0.0,0.1,0.4,0.6,0.7,0.3,0.6,1.1,0.0,3.8
E05000110,Chelsfield and Pratts Bottom,Bromley,253,"4,372","5,082","4,326",170,138,165,0,0,"14,507",0.0,0.3,0.7,0.9,0.0,0.0,0.1,0.0,0.0,2.1
E05000111,Chislehurst,Bromley,613,"2,746","5,506","5,966",0,0,0,0,0,"14,831",0.0,0.2,0.7,1.2,0.0,0.0,0.0,0.0,0.0,2.1
E05000112,Clock House,Bromley,3,62,128,"4,533","6,643","4,112",81,0,0,"15,560",0.0,0.0,0.0,0.9,1.7,1.3,0.0,0.0,0.0,4.0
E05000113,Copers Cope,Bromley,0,116,"4,167","4,472","4,779","1,773",86,0,0,"15,392",0.0,0.0,0.5,0.9,1.2,0.6,0.0,0.0,0.0,3.3
E05000114,Cray Valley East,Bromley,257,"6,042","4,010","1,839","3,202",94,0,0,0,"15,445",0.0,0.4,0.5,0.4,0.8,0.0,0.0,0.0,0.0,2.1
E05000115,Cray Valley West,Bromley,118,"1,691","9,984","3,154","1,813",10,0,0,0,"16,769",0.0,0.1,1.2,0.6,0.4,0.0,0.0,0.0,0.0,2.3
E05000116,Crystal Palace,Bromley,0,0,0,"2,217","4,295","3,204","1,711",828,0,"12,255",0.0,0.0,0.0,0.5,1.4,1.3,0.8,0.5,0.0,4.6
E05000117,Darwin,Bromley,238,"3,074","1,695",101,0,0,0,0,0,"5,108",0.0,0.6,0.7,0.1,0.0,0.0,0.0,0.0,0.0,1.3
E05000118,Farnborough and Crofton,Bromley,153,"2,796","5,497","3,988",820,871,374,135,0,"14,634",0.0,0.2,0.8,0.8,0.2,0.3,0.2,0.1,0.0,2.5
E05000119,Hayes and Coney Hall,Bromley,43,"3,620","4,836","5,540","1,867",0,0,0,0,"15,906",0.0,0.2,0.6,1.0,0.5,0.0,0.0,0.0,0.0,2.3
E05000120,Kelsey and Eden Park,Bromley,7,"1,407","5,028","7,178","1,281",991,0,0,0,"15,892",0.0,0.1,0.6,1.4,0.3,0.3,0.0,0.0,0.0,2.7
E05000121,Mottingham and Chislehurst North,Bromley,50,641,"3,633","5,442",221,0,0,0,0,"9,987",0.0,0.1,0.7,1.6,0.1,0.0,0.0,0.0,0.0,2.5
E05000122,Orpington,Bromley,15,"2,412","6,128","3,488",971,477,500,"1,321",0,"15,311",0.0,0.2,0.8,0.7,0.3,0.2,0.2,0.6,0.0,2.9
E05000123,Penge and Cator,Bromley,0,212,508,"1,565","9,362","5,431",248,0,0,"17,326",0.0,0.0,0.1,0.3,2.2,1.6,0.1,0.0,0.0,4.2
E05000124,Petts Wood and Knoll,Bromley,131,"2,562","3,633","2,165","4,489",190,302,178,0,"13,651",0.0,0.2,0.5,0.5,1.3,0.1,0.1,0.1,0.0,2.8
E05000125,Plaistow and Sundridge,Bromley,326,603,"3,349","7,898","1,691",790,466,0,0,"15,122",0.0,0.0,0.4,1.6,0.4,0.3,0.2,0.0,0.0,2.9
E05000126,Shortlands,Bromley,0,"1,898","3,543","1,967","1,352",321,336,406,0,"9,824",0.0,0.2,0.7,0.6,0.6,0.2,0.2,0.3,0.0,2.7
E05000127,West Wickham,Bromley,308,"2,602","6,363","5,611",0,0,0,0,0,"14,884",0.0,0.2,0.9,1.1,0.0,0.0,0.0,0.0,0.0,2.2
E05000128,Belsize,Camden,0,0,0,"1,428","7,850","3,232",159,33,0,"12,702",0.0,0.0,0.0,0.3,2.5,1.3,0.1,0.0,0.0,4.2
E05000129,Bloomsbury,Camden,0,0,0,0,0,0,0,206,"10,686","10,892",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.8,8.0
E05000130,Camden Town with Primrose Hill,Camden,0,0,2,"2,944","2,247",937,446,"4,766","1,271","12,613",0.0,0.0,0.0,0.7,0.7,0.4,0.2,2.6,0.8,5.4
E05000131,Cantelowes,Camden,0,13,"1,016","1,807","2,408","2,188","1,509","2,980",5,"11,925",0.0,0.0,0.2,0.5,0.8,0.9,0.8,1.7,0.0,4.9
E05000132,Fortune Green,Camden,0,0,29,"1,256","2,339","6,071","2,045",0,0,"11,740",0.0,0.0,0.0,0.3,0.8,2.6,1.0,0.0,0.0,4.8
E05000133,Frognal and Fitzjohns,Camden,141,398,591,"1,776","1,933","2,629","1,335","3,183",0,"11,986",0.0,0.0,0.1,0.4,0.6,1.1,0.7,1.9,0.0,4.8
E05000134,Gospel Oak,Camden,0,0,0,"2,326","5,444","3,494",0,0,0,"11,264",0.0,0.0,0.0,0.6,1.9,1.6,0.0,0.0,0.0,4.1
E05000135,Hampstead Town,Camden,0,105,328,"2,261","5,250","3,202",123,0,0,"11,270",0.0,0.0,0.1,0.6,1.9,1.4,0.1,0.0,0.0,4.0
E05000136,Haverstock,Camden,0,0,406,"1,098","4,386","3,389","1,470","1,615",0,"12,364",0.0,0.0,0.1,0.3,1.4,1.4,0.7,0.9,0.0,4.7
E05000137,Highgate,Camden,0,51,956,"2,996","3,229","3,158",566,0,0,"10,955",0.0,0.0,0.2,0.8,1.2,1.4,0.3,0.0,0.0,3.9
E05000138,Holborn and Covent Garden,Camden,0,0,0,0,0,0,115,948,"11,960","13,023",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,7.3,7.9
E05000139,Kentish Town,Camden,0,0,0,0,147,"6,120","5,379","1,771",0,"13,417",0.0,0.0,0.0,0.0,0.0,2.3,2.4,0.9,0.0,5.7
E05000140,Kilburn,Camden,0,28,521,712,"1,282","1,658","4,737","3,099",0,"12,038",0.0,0.0,0.1,0.2,0.4,0.7,2.4,1.8,0.0,5.5
E05000141,King's Cross,Camden,0,0,0,0,0,231,139,"1,647","9,825","11,843",0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,6.6,7.8
E05000142,Regent's Park,Camden,0,0,0,111,558,"1,083","1,950","6,183","3,643","13,528",0.0,0.0,0.0,0.0,0.2,0.4,0.9,3.2,2.2,6.8
E05000143,St Pancras and Somers Town,Camden,0,93,187,243,722,294,408,"5,306","6,566","13,818",0.0,0.0,0.0,0.1,0.2,0.1,0.2,2.7,3.8,7.1
E05000144,Swiss Cottage,Camden,0,0,293,661,344,"1,246","3,119","7,236",0,"12,900",0.0,0.0,0.0,0.2,0.1,0.5,1.5,3.9,0.0,6.2
E05000145,West Hampstead,Camden,0,0,0,0,272,"2,073","6,564","3,150",0,"12,060",0.0,0.0,0.0,0.0,0.1,0.9,3.3,1.8,0.0,6.0
E05000146,Addiscombe,Croydon,0,0,567,"4,294","4,775","3,369",440,"2,029","1,410","16,883",0.0,0.0,0.1,0.8,1.1,1.0,0.2,0.8,0.7,4.6
E05000147,Ashburton,Croydon,9,"2,812","1,681","5,405","3,993",821,0,0,0,"14,721",0.0,0.2,0.2,1.1,1.1,0.3,0.0,0.0,0.0,2.9
E05000148,Bensham Manor,Croydon,0,0,"2,539","7,226","5,528",674,0,0,0,"15,967",0.0,0.0,0.3,1.4,1.4,0.2,0.0,0.0,0.0,3.3
E05000149,Broad Green,Croydon,0,50,839,"6,188","4,543",490,"1,086","3,405","2,049","18,652",0.0,0.0,0.1,1.0,1.0,0.1,0.3,1.3,0.9,4.7
E05000150,Coulsdon East,Croydon,439,"3,161","6,432","1,967",245,0,0,0,0,"12,244",0.0,0.3,1.1,0.5,0.1,0.0,0.0,0.0,0.0,1.9
